Waiting for prefill-a up (http://j-6a7cfaa8-570f-4b24-8774-prefill-a-0-0.j-6a7cfaa8-570f-4b24-8774:8000/health, up to 5400s)
prefill-a is up (680s)
Waiting for decode-a up (http://j-6a7cfaa8-570f-4b24-8774-decode-a-0-0.j-6a7cfaa8-570f-4b24-8774:7200/health, up to 5400s)
decode-a is up (0s)
Waiting for proxy-a up (http://j-6a7cfaa8-570f-4b24-8774-prefill-a-0-0.j-6a7cfaa8-570f-4b24-8774:10000/healthcheck, up to 600s)
proxy-a is up (0s)
Waiting for prefill-b up (http://j-6a7cfaa8-570f-4b24-8774-prefill-b-0-0.j-6a7cfaa8-570f-4b24-8774:8000/health, up to 5400s)
prefill-b is up (45s)
Waiting for decode-b up (http://j-6a7cfaa8-570f-4b24-8774-decode-b-0-0.j-6a7cfaa8-570f-4b24-8774:7200/health, up to 5400s)
decode-b is up (0s)
Waiting for proxy-b up (http://j-6a7cfaa8-570f-4b24-8774-prefill-b-0-0.j-6a7cfaa8-570f-4b24-8774:10000/healthcheck, up to 600s)
proxy-b is up (0s)
Waiting for stack-A engine readiness (first compile, up to 60 min)...
stack-A engines are ready.
Waiting for stack-B engine readiness (first compile, up to 60 min)...
stack-B engines are ready.
=== stage 1: cross-stack KA (32832 tokens) ===
ka: A=[89, 89, 89, 89, 89, 89, 89, 89] B=[89, 89, 89, 89, 89, 89, 89, 89] identical=True b_prefill_ext_hits=0.0
=== stage 2: seeding 48 docs via stack A ===
waiting 15s for saves to commit
=== a-revisit control: same 48 docs via stack A ===
[arevisit] doc0 ttft=0.377s prefill=0.338s ext_hit=32768/32831
[arevisit] doc1 ttft=0.374s prefill=0.337s ext_hit=32768/32831
[arevisit] doc2 ttft=0.370s prefill=0.335s ext_hit=32768/32831
[arevisit] doc3 ttft=0.372s prefill=0.335s ext_hit=32768/32831
[arevisit] doc4 ttft=0.369s prefill=0.335s ext_hit=32768/32831
[arevisit] doc5 ttft=0.371s prefill=0.336s ext_hit=32768/32831
[arevisit] doc6 ttft=0.371s prefill=0.336s ext_hit=32768/32831
[arevisit] doc7 ttft=0.376s prefill=0.335s ext_hit=32768/32831
[arevisit] doc8 ttft=0.374s prefill=0.336s ext_hit=32768/32831
[arevisit] doc9 ttft=0.371s prefill=0.336s ext_hit=32768/32831
[arevisit] doc10 ttft=0.371s prefill=0.334s ext_hit=32768/32831
[arevisit] doc11 ttft=0.373s prefill=0.335s ext_hit=32768/32831
[arevisit] doc12 ttft=0.373s prefill=0.335s ext_hit=32768/32831
[arevisit] doc13 ttft=0.370s prefill=0.335s ext_hit=32768/32831
[arevisit] doc14 ttft=0.372s prefill=0.336s ext_hit=32768/32831
[arevisit] doc15 ttft=0.372s prefill=0.335s ext_hit=32768/32831
[arevisit] doc16 ttft=0.366s prefill=0.335s ext_hit=32768/32831
[arevisit] doc17 ttft=0.366s prefill=0.335s ext_hit=32768/32831
[arevisit] doc18 ttft=0.372s prefill=0.335s ext_hit=32768/32831
[arevisit] doc19 ttft=0.371s prefill=0.337s ext_hit=32768/32831
[arevisit] doc20 ttft=0.365s prefill=0.335s ext_hit=32768/32831
[arevisit] doc21 ttft=0.365s prefill=0.334s ext_hit=32768/32831
[arevisit] doc22 ttft=0.375s prefill=0.337s ext_hit=32768/32831
[arevisit] doc23 ttft=0.368s prefill=0.335s ext_hit=32768/32831
[arevisit] doc24 ttft=0.366s prefill=0.335s ext_hit=32768/32831
[arevisit] doc25 ttft=0.366s prefill=0.336s ext_hit=32768/32831
[arevisit] doc26 ttft=0.366s prefill=0.335s ext_hit=32768/32831
[arevisit] doc27 ttft=0.369s prefill=0.335s ext_hit=32768/32831
[arevisit] doc28 ttft=0.368s prefill=0.335s ext_hit=32768/32831
[arevisit] doc29 ttft=0.368s prefill=0.336s ext_hit=32768/32831
[arevisit] doc30 ttft=0.364s prefill=0.336s ext_hit=32768/32831
[arevisit] doc31 ttft=0.371s prefill=0.336s ext_hit=32768/32831
[arevisit] doc32 ttft=0.367s prefill=0.336s ext_hit=32768/32831
[arevisit] doc33 ttft=0.367s prefill=0.336s ext_hit=32768/32831
[arevisit] doc34 ttft=0.366s prefill=0.336s ext_hit=32768/32831
[arevisit] doc35 ttft=0.374s prefill=0.335s ext_hit=32768/32831
[arevisit] doc36 ttft=0.363s prefill=0.333s ext_hit=32768/32831
[arevisit] doc37 ttft=0.366s prefill=0.335s ext_hit=32768/32831
[arevisit] doc38 ttft=0.363s prefill=0.335s ext_hit=32768/32831
[arevisit] doc39 ttft=0.366s prefill=0.336s ext_hit=32768/32831
[arevisit] doc40 ttft=0.367s prefill=0.336s ext_hit=32768/32831
[arevisit] doc41 ttft=0.372s prefill=0.336s ext_hit=32768/32831
[arevisit] doc42 ttft=0.369s prefill=0.335s ext_hit=32768/32831
[arevisit] doc43 ttft=0.367s prefill=0.335s ext_hit=32768/32831
[arevisit] doc44 ttft=0.367s prefill=0.336s ext_hit=32768/32831
[arevisit] doc45 ttft=0.363s prefill=0.336s ext_hit=32768/32831
[arevisit] doc46 ttft=0.361s prefill=0.334s ext_hit=32768/32831
[arevisit] doc47 ttft=0.371s prefill=0.336s ext_hit=32768/32831
[arevisit:summary] reqs=48 ttft_p50=0.369s prefill_avg=0.335s ext_hit_pct=99.8
=== cross-revisit: same 48 docs via stack B ===
[xrevisit] doc0 ttft=3.016s prefill=3.005s ext_hit=0/32831
[xrevisit] doc1 ttft=3.004s prefill=2.999s ext_hit=0/32831
[xrevisit] doc2 ttft=3.014s prefill=3.010s ext_hit=0/32831
[xrevisit] doc3 ttft=3.002s prefill=2.998s ext_hit=0/32831
[xrevisit] doc4 ttft=2.994s prefill=2.990s ext_hit=0/32831
[xrevisit] doc5 ttft=2.997s prefill=2.993s ext_hit=0/32831
[xrevisit] doc6 ttft=3.001s prefill=2.997s ext_hit=0/32831
[xrevisit] doc7 ttft=3.002s prefill=2.997s ext_hit=0/32831
[xrevisit] doc8 ttft=3.007s prefill=3.003s ext_hit=0/32831
[xrevisit] doc9 ttft=3.012s prefill=3.008s ext_hit=0/32831
[xrevisit] doc10 ttft=3.022s prefill=3.018s ext_hit=0/32831
[xrevisit] doc11 ttft=3.008s prefill=3.004s ext_hit=0/32831
[xrevisit] doc12 ttft=2.999s prefill=2.995s ext_hit=0/32831
[xrevisit] doc13 ttft=3.011s prefill=3.007s ext_hit=0/32831
[xrevisit] doc14 ttft=3.008s prefill=3.003s ext_hit=0/32831
[xrevisit] doc15 ttft=3.017s prefill=3.013s ext_hit=0/32831
[xrevisit] doc16 ttft=3.017s prefill=3.013s ext_hit=0/32831
[xrevisit] doc17 ttft=3.012s prefill=3.008s ext_hit=0/32831
[xrevisit] doc18 ttft=3.005s prefill=2.999s ext_hit=0/32831
[xrevisit] doc19 ttft=2.997s prefill=2.993s ext_hit=0/32831
[xrevisit] doc20 ttft=3.018s prefill=3.013s ext_hit=0/32831
[xrevisit] doc21 ttft=3.007s prefill=3.003s ext_hit=0/32831
[xrevisit] doc22 ttft=3.015s prefill=3.011s ext_hit=0/32831
[xrevisit] doc23 ttft=3.004s prefill=3.000s ext_hit=0/32831
[xrevisit] doc24 ttft=3.015s prefill=3.010s ext_hit=0/32831
[xrevisit] doc25 ttft=3.004s prefill=3.000s ext_hit=0/32831
[xrevisit] doc26 ttft=3.002s prefill=2.998s ext_hit=0/32831
[xrevisit] doc27 ttft=2.998s prefill=2.994s ext_hit=0/32831
[xrevisit] doc28 ttft=3.002s prefill=2.998s ext_hit=0/32831
[xrevisit] doc29 ttft=3.003s prefill=2.999s ext_hit=0/32831
[xrevisit] doc30 ttft=3.003s prefill=2.999s ext_hit=0/32831
[xrevisit] doc31 ttft=3.007s prefill=3.003s ext_hit=0/32831
[xrevisit] doc32 ttft=3.009s prefill=3.004s ext_hit=0/32831
[xrevisit] doc33 ttft=3.003s prefill=2.999s ext_hit=0/32831
[xrevisit] doc34 ttft=3.015s prefill=3.011s ext_hit=0/32831
[xrevisit] doc35 ttft=3.015s prefill=3.011s ext_hit=0/32831
[xrevisit] doc36 ttft=3.016s prefill=3.011s ext_hit=0/32831
[xrevisit] doc37 ttft=3.021s prefill=3.017s ext_hit=0/32831
[xrevisit] doc38 ttft=3.007s prefill=3.003s ext_hit=0/32831
[xrevisit] doc39 ttft=3.019s prefill=3.014s ext_hit=0/32831
[xrevisit] doc40 ttft=3.021s prefill=3.017s ext_hit=0/32831
[xrevisit] doc41 ttft=3.016s prefill=3.012s ext_hit=0/32831
[xrevisit] doc42 ttft=3.014s prefill=3.010s ext_hit=0/32831
[xrevisit] doc43 ttft=3.003s prefill=2.998s ext_hit=0/32831
[xrevisit] doc44 ttft=3.011s prefill=3.007s ext_hit=0/32831
[xrevisit] doc45 ttft=3.012s prefill=3.008s ext_hit=0/32831
[xrevisit] doc46 ttft=3.005s prefill=3.000s ext_hit=0/32831
[xrevisit] doc47 ttft=3.018s prefill=3.014s ext_hit=0/32831
[xrevisit:summary] reqs=48 ttft_p50=3.008s prefill_avg=3.004s ext_hit_pct=0.0
=== cold baseline: 48 fresh docs via stack B ===
[cold] doc0 ttft=3.010s prefill=3.006s ext_hit=0/32831
[cold] doc1 ttft=3.008s prefill=3.004s ext_hit=0/32831
[cold] doc2 ttft=3.012s prefill=3.007s ext_hit=0/32831
[cold] doc3 ttft=3.009s prefill=3.004s ext_hit=0/32831
[cold] doc4 ttft=3.007s prefill=3.003s ext_hit=0/32831
[cold] doc5 ttft=3.009s prefill=3.006s ext_hit=0/32831
[cold] doc6 ttft=3.007s prefill=3.003s ext_hit=0/32831
[cold] doc7 ttft=3.008s prefill=3.004s ext_hit=0/32831
[cold] doc8 ttft=3.003s prefill=2.999s ext_hit=0/32831
[cold] doc9 ttft=3.005s prefill=3.001s ext_hit=0/32831
[cold] doc10 ttft=3.005s prefill=3.001s ext_hit=0/32831
[cold] doc11 ttft=2.997s prefill=2.993s ext_hit=0/32831
[cold] doc12 ttft=3.002s prefill=2.997s ext_hit=0/32831
[cold] doc13 ttft=3.000s prefill=2.995s ext_hit=0/32831
[cold] doc14 ttft=2.993s prefill=2.988s ext_hit=0/32831
[cold] doc15 ttft=3.003s prefill=2.999s ext_hit=0/32831
[cold] doc16 ttft=2.994s prefill=2.989s ext_hit=0/32831
[cold] doc17 ttft=2.991s prefill=2.987s ext_hit=0/32831
[cold] doc18 ttft=2.994s prefill=2.990s ext_hit=0/32831
[cold] doc19 ttft=2.996s prefill=2.992s ext_hit=0/32831
[cold] doc20 ttft=3.002s prefill=2.998s ext_hit=0/32831
[cold] doc21 ttft=3.002s prefill=2.997s ext_hit=0/32831
[cold] doc22 ttft=2.994s prefill=2.990s ext_hit=0/32831
[cold] doc23 ttft=3.004s prefill=3.000s ext_hit=0/32831
[cold] doc24 ttft=3.003s prefill=2.999s ext_hit=0/32831
[cold] doc25 ttft=3.001s prefill=2.997s ext_hit=0/32831
[cold] doc26 ttft=3.002s prefill=2.998s ext_hit=0/32831
[cold] doc27 ttft=3.002s prefill=2.998s ext_hit=0/32831
[cold] doc28 ttft=2.999s prefill=2.995s ext_hit=0/32831
[cold] doc29 ttft=2.994s prefill=2.990s ext_hit=0/32831
[cold] doc30 ttft=2.992s prefill=2.988s ext_hit=0/32831
[cold] doc31 ttft=3.001s prefill=2.997s ext_hit=0/32831
[cold] doc32 ttft=2.990s prefill=2.986s ext_hit=0/32831
[cold] doc33 ttft=2.993s prefill=2.988s ext_hit=0/32831
[cold] doc34 ttft=2.993s prefill=2.989s ext_hit=0/32831
[cold] doc35 ttft=2.990s prefill=2.986s ext_hit=0/32831
[cold] doc36 ttft=3.000s prefill=2.996s ext_hit=0/32831
[cold] doc37 ttft=3.000s prefill=2.996s ext_hit=0/32831
[cold] doc38 ttft=2.994s prefill=2.990s ext_hit=0/32831
[cold] doc39 ttft=3.004s prefill=2.999s ext_hit=0/32831
[cold] doc40 ttft=2.998s prefill=2.994s ext_hit=0/32831
[cold] doc41 ttft=3.001s prefill=2.997s ext_hit=0/32831
[cold] doc42 ttft=3.002s prefill=2.998s ext_hit=0/32831
[cold] doc43 ttft=2.995s prefill=2.990s ext_hit=0/32831
[cold] doc44 ttft=2.993s prefill=2.988s ext_hit=0/32831
[cold] doc45 ttft=2.996s prefill=2.991s ext_hit=0/32831
[cold] doc46 ttft=2.998s prefill=2.995s ext_hit=0/32831
[cold] doc47 ttft=2.997s prefill=2.993s ext_hit=0/32831
[cold:summary] reqs=48 ttft_p50=3.001s prefill_avg=2.996s ext_hit_pct=0.0
[island:ab] arevisit_prefill_avg=0.335s xrevisit_prefill_avg=3.004s cold_prefill_avg=2.996s
RESULT: PASS (island baseline: a-revisit ext_hit_pct=99.8 at 0.335s proves local offloading works; cross-revisit ext_hit_pct=0.0 at 3.004s vs cold 2.996s — the other stack's DRAM is unreachable)

